m,TOEPLITZD2HD1,GSKEWD2HD1,HGAUSSHD2HD1,HD3HD2HD1
5.120000000000000000e+02,1.362359602030159156e+00,1.471137580008507806e+00,2.249251293220800196e+00,2.163262634197433698e+00
1.024000000000000000e+03,3.620709704489600611e+00,3.768979265850112448e+00,6.664125506117541065e+00,6.507821758710595539e+00
2.048000000000000000e+03,8.186988518689803485e+00,8.569307399547504644e+00,1.743728453044589344e+01,1.710711109554987885e+01
4.096000000000000000e+03,1.399950125940368650e+01,1.540428274673306142e+01,3.428016654918610584e+01,3.432884358096739419e+01
8.192000000000000000e+03,2.770535143135963807e+01,2.999356512259376473e+01,7.906457050343895787e+01,7.841621476368153765e+01
1.638400000000000000e+04,4.854134538686519562e+01,4.848765821760991912e+01,1.436721839946584396e+02,1.427805940966972003e+02
3.276800000000000000e+04,9.006551307411932328e+01,9.932398093849332099e+01,2.897770059581653754e+02,2.899947314401070457e+02
