n,G,CircK2K1,GTOEPLITZD2HD1,GSKEWD2HD1,HGAUSSHD2HD1,HD3HD2HD1
8.000000000000000000e+00,4.079286451461242025e-02,7.1327368668350141e-02,3.985293737371876921e-02,4.222696009954120255e-02,4.851588061998655943e-02,3.368657271531608904e-02
9.000000000000000000e+00,2.911294591328976097e-02,5.2881817503595926e-02,2.898339092876026091e-02,2.720739824041605928e-02,3.126167144957718580e-02,2.342376059615787487e-02
1.000000000000000000e+01,1.974527520601726538e-02,4.1864934765768122e-02,2.007680634558423743e-02,1.897362923610844757e-02,2.341584881106185609e-02,1.612284511013691718e-02
1.100000000000000000e+01,1.510674447936826391e-02,2.358902720889474e-02,1.397586535001072924e-02,1.422918623753549085e-02,1.723638028208230449e-02,1.162411040053798819e-02
1.200000000000000000e+01,9.656399681551706971e-03,1.7586718915672751e-02,9.989544510176539410e-03,9.382441651938595167e-03,1.166331255022528060e-02,8.236307280690993021e-03
1.300000000000000000e+01,7.107002193262464476e-03,1.0278460988966939e-02,6.979579993491226431e-03,7.058094898467326579e-03,8.217371962117487466e-03,5.792840356775000657e-03
