n,G,CircK2K1,GTOEPLITZD2HD1,GSKEWD2HD1,HGAUSSHD2HD1,HD3HD2HD1
8.000000000000000000e+00,9.455222178066376160e-02,1.315406873434787349e-01,1.142532522643740361e-01,1.194506608817656607e-01,1.072306468621591763e-01,8.012556795807571075e-02
9.000000000000000000e+00,6.753919121049818675e-02,1.149193824619410415e-01,7.610970560792620909e-02,7.643221986069223539e-02,8.815652139515836594e-02,5.874586211432279714e-02
1.000000000000000000e+01,4.619906642354068560e-02,8.277252568390866538e-02,5.185809343271392813e-02,5.665258194063975405e-02,6.444465906962650037e-02,3.631482654530713422e-02
1.100000000000000000e+01,3.315179632573912738e-02,5.146183827062331823e-02,3.578064285775948289e-02,3.596510301798444553e-02,4.062832851484778074e-02,2.834965295796069637e-02
1.200000000000000000e+01,2.430333850968145748e-02,3.819951731515694449e-02,2.406373806546200506e-02,2.416548133253086997e-02,2.652651587586880161e-02,2.130544768108397907e-02
1.300000000000000000e+01,1.631344730488156966e-02,2.540894186535565952e-02,1.855162074290342411e-02,1.983965245726346249e-02,2.010668180900009733e-02,1.470571750211041064e-02
