n,G,CircK2K1,GTOEPLITZD2HD1,GSKEWD2HD1,HGAUSSHD2HD1,HD3HD2HD1
6.000000000000000000e+00,1.235999203559498688e-01,1.189454570724434446e-01,1.229728402522977937e-01,1.269345326819373565e-01,1.373269267687431683e-01,9.498906223439551599e-02
7.000000000000000000e+00,8.651620689515862606e-02,8.743788003904515160e-02,8.817979351017780909e-02,8.579227009027595718e-02,9.981337429454006926e-02,6.752128597496895313e-02
8.000000000000000000e+00,6.150137789898189877e-02,6.219112928153160136e-02,6.134757645071771404e-02,6.071841151248802415e-02,7.258405785282746880e-02,4.749568601712463034e-02
9.000000000000000000e+00,4.372004334437612494e-02,4.316830434010895945e-02,4.338375539741700510e-02,4.375693427563519255e-02,5.154521862416435590e-02,3.355524713863337893e-02
1.000000000000000000e+01,3.078801286334977363e-02,3.053504815185918014e-02,3.074863280048447181e-02,3.022238086137516919e-02,3.613681943025667115e-02,2.376898028047260553e-02
1.100000000000000000e+01,2.186125203372101672e-02,2.162585426087945684e-02,2.159260996596879673e-02,2.167241281802066016e-02,2.570469174376443025e-02,1.681277390964396046e-02
