n,G,CircK2K1,GTOEPLITZD2HD1,GSKEWD2HD1,HGAUSSHD2HD1,HD3HD2HD1
6.000000000000000000e+00,7.758246984861356943e-02,7.247973186459463757e-02,7.458692837543048904e-02,9.570151408995314357e-02,8.665736129286158440e-02,7.463611810641793132e-02
7.000000000000000000e+00,5.325910809959859271e-02,5.998174091589499046e-02,7.449980381797106921e-02,6.606905570131380023e-02,5.727691220518955906e-02,5.448893314854928727e-02
8.000000000000000000e+00,3.984021570964695058e-02,3.924781090113906024e-02,3.827862250054859389e-02,4.144672599464947066e-02,4.334126065856262755e-02,3.653544098883125535e-02
9.000000000000000000e+00,2.942651704289890244e-02,3.330572939368336982e-02,3.133794424930170380e-02,2.843057064322647778e-02,2.987156957962183029e-02,2.591691707880385692e-02
1.000000000000000000e+01,1.938677279057816547e-02,1.997337864520443151e-02,2.038025831325825446e-02,2.176538663252147038e-02,2.199146079515502256e-02,1.874575669133247274e-02
1.100000000000000000e+01,1.360715632609582615e-02,1.526237763063406638e-02,1.528223730184643560e-02,1.570883423200005596e-02,1.707231607640672527e-02,1.279710859525381994e-02
